Nombre de la Lista,Lista de Precios Base,,,
Moneda,Peso Chileno,,,
,,,,
Tipo de producto,Código Barras,SKU,Variante,Precio Venta
QUESOS Y FIAMBRES,7801930021478,CD401478,CHORIZO DE CAMPO RECETA DEL ABUELO 400 GR,"5.290,00"
HIGIENE Y CUIDADO PERSONAL,7804918450697,LO1U0697,PRESERVATIVOS ORGAZMAX LIFESTYLES 3U,"7.390,00"
HIGIENE Y CUIDADO PERSONAL,7794626010811,TH8U0811,TOALLAS HIGIENICAS NORMAL CON ALAS KOTEX 8U,"1.690,00"
MENAJE Y LIBRERIA,12345100,1V1U5100,1 VASO BICOLOR 500CC 1U,250
MENAJE Y LIBRERIA,1234599,1V1U4599,1 VASO CHIP 1U,150
LACTEOS,7802900332419,1C142419,1+1 CHOCOCRSIPYS 140GR,990
LACTEOS,7802900228170,1+MICOO8170,1+1 MINI COOKIES,990
LACTEOS,7802900002220,1S152220,1+1 SOPROLE NATURAL ENDULZADO 155GR,990
LACTEOS,7802900003876,1S1403876,1+1 SOPROLE ZERO LACTO ZUCARITA 140GR,990
POSTRES,7802900337049,1Z147049,1+1 ZUCARITAS 140G,990
CANDYLAND,40000422082,3M542082,"3 MUSKETEERS 54,4G","1.790,00"
MASCOTAS,709081031179,3R1U1179,3 ROLLOS BOLSAS MAS DISPENSADOR MARBEN PETS 1U,"2.590,00"
JUEGOS,31345675,DIJU6U5675,6 DIVERTIDOS JUEGOS 6U,"3.990,00"
BEBIDAS,7801620016203,7U2L6203,7UP 2L,"2.490,00"
BEBIDAS,7801620852702,7N2702,7UP NORMAL LATA 350CC,"1.190,00"
CASA Y JARDIN,7806810251068,AL11068,ABRE LATA ILKO ACERO INOXIDABLE 1U,"5.890,00"
MENAJE Y LIBRERIA,7806810251013,AM1U1013|,ABRELATAS MARIPOSA ILKO 1U,"7.890,00"
MENAJE Y LIBRERIA,6981045350029,AD1U0029,ABRIDOR DE LATAS 1U,"3.290,00"
HIGIENE Y CUIDADO,7804945017870,AB217870,ACEITE BRONCEADOR COCO-ZANAHORIA 15 SPF 210ML,"5.690,00"
HIGIENE Y CUIDADO PERSONAL,7800004004362,AB224362,ACEITE BRONCEADOR LEBLON 220ML,"7.790,00"
DESPENSA,7802810002099,ACMA1L2099,ACEITE DE MARAVILLA CHEF 1L,"3.990,00"
DESPENSA,7790272001005,AD901005,ACEITE DE MARAVILLA NATURA 900ML,"4.490,00"
DESPENSA,7801420000600,AD500600,ACEITE DE OLIVA BANQUETE 500ML,"12.190,00"
DESPENSA,7804608720307,AD5000307,ACEITE DE OLIVA EXTRA VIRGEN GRECCO 500ML,"7.290,00"
DESPENSA,7808760900515,AD250115,ACEITE DE OLIVA HUASCO EXTRA VIRGEN 250ML,"6.490,00"
DESPENSA,7808760900478,AD500478,ACEITE DE OLIVA HUASCO EXTRA VIRGEN 500ML,"9.890,00"
DESPENSA,6061100240684,AD250684,ACEITE DE OLIVA NAU 250ML,"5.990,00"
DESPENSA,7808760900072,AD500072,ACEITE DE OLIVA OLAVE 500ML,"6.590,00"
DESPENSA,799192433900,AD503900,ACEITE DE OLIVA SALVATORE 500ML,"11.290,00"
DESPENSA,7804609780010,AD500010,ACEITE DE OLIVA TERRA SANTA 500ML,"6.890,00"
DESPENSA,7804608221651,AM901651,ACEITE MARAVILLA COLISEO 900ML,"2.850,00"
DESPENSA,7801320000007,AM900007,ACEITE MIRAFLORES MARAVILLA 900CC,"3.890,00"
DESPENSA,7801320019375,AM1L9375,ACEITE MIRAFLORES VEGETAL 1L,"3.390,00"
DESPENSA,7801420000617,AO250617,ACEITE OLIVA BANQUETE EXTRA VIRGEN 250ML,"7.190,00"
DESPENSA,7801420002192,AT5002192,ACEITE TUCAPEL DE ARROZ 500ML,"4.090,00"
DESPENSA,7802810012029,AV1L2029,ACEITE VEGETAL BELMONT 1L,"3.990,00"
DESPENSA,7802810012531,AV252531,ACEITE VEGETAL BELMONT CANOLA 250ML,"1.290,00"
DESPENSA,7804608220005,AV900005,ACEITE VEGETAL COLISEO 900ML,"2.590,00"
DESPENSA,7801320242025,AV902025,ACEITE VEGETAL MIRAFLORES 900ML,"3.690,00"
DESPENSA,7794870056009,AV906009,ACEITE VEGETAL SMARTPRICE 900ML,"2.190,00"
DESPENSA,7790272008721,AV508721,ACEITE VEGETAL SORENTO 500ML,"1.590,00"
SNACKS,8428393001350,AL371350,ACEITUNA LA EXPLANADA RELLENA DE PIMENTON 370GR,"2.590,00"
DESPENSA,7804625100342,AN180342,ACEITUNA NEGRA DESHUESADA 1800G,"10.790,00"
DESPENSA,7804625100335,AN180335,ACEITUNA NEGRA EN RODAJAS 1800G,"10.790,00"
SNACKS,7802351111304,AA331304,ACEITUNAS AZAPA DON JUAN 330G,"3.790,00"
SNACKS,7802351121204,AH341204,ACEITUNAS HUASCO DON JUAN 340G,"1.990,00"
DESPENSA,7792070000532,AN330532,ACEITUNAS NEGRAS EN SALMUERA NUCETE 330G,"3.990,00"
SNACKS,7802351131203,AS341203,ACEITUNAS SEVILLANA DON JUAN 340G,"2.990,00"
SNACKS,7802337000110,AT500110,ACEITUNAS TIPO HUASCO TRAVERSO 500G,"1.690,00"
DESPENSA,7804625100366,AV1K0366,ACEITUNAS VERDES SAN AMBROSIO 1K,"10.790,00"
DESPENSA,7792070034353,AV364353,ACEITUNAS VERDES DESCAROZADAS NUCETE 360G,"3.990,00"
DESPENSA,7804625100359,AV1K0359,ACEITUNAS VERDES DESHUESADAS SAN AMBROSIO 1K,"10.790,00"
SNACKS,8436019239377,AV459377,ACEITUNAS VERDES DESHUESADAS TORRENT 450G,"8.390,00"
DESPENSA,7792070000495,AV330495,ACEITUNAS VERDES RELLENAS CON PIMENTON NUCETE 330G,"3.990,00"
DESPENSA,1178003698124,AB258124,ACETO BALSAMICO 250ML,"2.290,00"
DESPENSA,7802315560476,AB500476,ACETO BALSAMICO IMPERATORE 500ML,"3.690,00"
DESPENSA,7802356297287,AB257287,ACETO BALSAMICO IMPERATORE TRAVERSO 250ML,"2.290,00"
HIGIENE Y CUIDADO PERSONAL,7804920008862,AC758862,ACONDICIONADOR ACEITE DE COCO ARGAN Y ALMENDRA BALLERINA 750ML,"2.490,00"
HIGIENE Y CUIDADO,7804920006882,AB406882,ACONDICIONADOR BABY LEE AROMAS INFINITOS 400ML,"3.290,00"
BEBES,7804945072374,AB272374,ACONDICIONADOR BABYLAND BUBBLGEGUM 270ML,"1.790,00"
BEBES,7804920006813,AB256813,ACONDICIONADOR BABYLEE BRILLITOS 250ML,"1.890,00"
HIGIENE Y CUIDADO,7804920005779,AB405779,ACONDICIONADOR BABYLEE BRILLITOS MAGICOS 400ML,"3.290,00"
HIGIENE Y CUIDADO,7804920006219,AB406219,ACONDICIONADOR BABYLEE RIZOS Y RIZAS 400ML,"3.190,00"
HIGIENE Y CUIDADO,7804920005908,AB755908,ACONDICIONADOR BALLERINA BAJOPOO MICELAR AGUA DE COCO DOYPACK 750ML,"2.490,00"
HIGIENE Y CUIDADO PERSONAL,7804920003058,AB753058,ACONDICIONADOR BALLERINA COCO JAZMÍN FRASCO 750ML,"2.490,00"
HIGIENE Y CUIDADO,7804920008558,AB418558,ACONDICIONADOR BALLERINA DETOX PURIFICANTE LIMPIEZA PROFUNDA 410ML,"2.690,00"
HIGIENE Y CUIDADO PERSONAL,7804920003218,AB753218,ACONDICIONADOR BALLERINA GRANADA 750 ML,"2.390,00"
HIGIENE Y CUIDADO PERSONAL,7804920008114,AB408114,ACONDICIONADOR BALLERINA MANZANILLA 40 ML,290
HIGIENE Y CUIDADO PERSONAL,7804920007704,AB417704,ACONDICIONADOR BALLERINA ONDA Y RIZOS 410ML,"1.790,00"
HIGIENE Y CUIDADO PERSONAL,7804920008138,AB408138,ACONDICIONADOR BALLERINA ONDAS Y RIZOS 40 ML,290
HIGIENE Y CUIDADO PERSONAL,7804920007247,AB417247,ACONDICIONADOR BALLERINA PALTA Y ALMENDRAS 410ML,"1.790,00"
HIGIENE Y CUIDADO,7804920002587,AB752587,ACONDICIONADOR BALLERINA PERA 750ML,"2.690,00"
HIGIENE Y CUIDADO PERSONAL,7804920008190,AB758190,ACONDICIONADOR BAMBU Y JINSENG FRASCO BALLERINA 750ML,"2.490,00"
